"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","counts_1","counts_2","counts_3","counts_4","Gene"
"1",321.916748286146,2.53372422859167,0.21064034118056,12.0286751074893,2.51158760479975e-33,1.79327354982702e-30,2.05976714390712,1.8612097182042,0.9306048591021,0,"thrL"
"2",97.8477001168268,3.29622509651765,0.387941410382243,8.49670854490591,1.95042352138415e-17,6.9630119713414e-15,58.7033636013529,46.530242955105,78.1708081645764,96.7112938641188,"thrA"
"3",70.8455565568215,4.96789940897674,0.603602539117579,8.23041502813993,1.86565907355908e-16,4.4402685950706e-14,12.3586028634427,12.0978631683273,29.7793554912672,26.8642482955885,"thrB"
"4",131.513502950012,-2.19748867314123,0.30944755157624,-7.10132835741578,1.23563406690703e-12,2.20560680942905e-10,30.8965071586068,26.0569360548588,55.836291546126,59.1013462502948,"thrC"
"5",58.1766785356485,3.68437376190171,0.53849799188874,6.84194522059228,7.81249654818332e-12,1.11562450708058e-09,1.02988357195356,0,0,1.07456993182354,"yaaX"
"6",352.631550409851,1.20167542789238,0.190202124814521,6.31788645402469,2.65164718542889e-10,3.15546015066038e-08,0,1.8612097182042,1.8612097182042,0,"yaaA"
"7",42.0574411482569,-3.98526203176667,0.645044366405179,-6.17827585097203,6.48054128259713e-10,6.61015210824907e-08,0,0,0,0,"yaaJ"
"8",44.4574183786129,6.49199215485731,1.11792219195119,5.80719499227969,6.35281359358798e-09,5.66988613227727e-07,8.23906857562847,7.4448388728168,9.306048591021,19.3422587728238,"talB"
"9",35.2872187877939,8.61381547369816,1.52973613653394,5.6309158605714,1.79255165888119e-08,1.42209098271241e-06,1.02988357195356,0,0,0,"mog"
"10",52.2915787058634,2.99929371542639,0.547294384446452,5.4802201532909,4.24796922295748e-08,3.03305002519164e-06,1.02988357195356,0.9306048591021,0,0,"yaaH"
"11",37.4666027868639,3.21770295209224,0.619740565515452,5.19201603241189,2.08029084784491e-07,1.35029787760115e-05,0,0,0,0,"yaaW"
"12",30.7978111296304,5.95554169957436,1.15682268555944,5.14818889179567,2.63013565159535e-07,1.56493071269924e-05,0,0,0,0,"yaaI"
"13",26.9314266205006,4.74047768562468,0.925319544213541,5.12307095993932,3.00599157074653e-07,1.65098306270232e-05,5.14941785976779,2.7918145773063,19.5427020411441,19.3422587728238,"dnaK"
"14",46.1607979864663,-2.49020365080903,0.526988850387886,-4.72534409214946,2.29726029824431e-06,0.00011716027521046,0,2.7918145773063,2.7918145773063,2.14913986364708,"dnaJ"
"15",23.6071178198884,-3.89711330638667,0.847766321265563,-4.59691923190459,4.28783737255436e-06,0.000204101058933588,2.05976714390712,5.5836291546126,5.5836291546126,6.44741959094125,"insL"
"16",21.0958585886255,4.80122376688345,1.05256899787503,4.56143376498487,5.08055031053619e-06,0.000226719557607678,0,0,0,0,"hokC"
"17",14493.6089277981,0.442252717679837,0.0991788835184837,4.45914192608768,8.22884212343391e-06,0.000345611369184224,0,0,0,0,"mokC"
"18",39.7312535084015,2.39588744109077,0.559734225371198,4.28040189877954,1.86556108989644e-05,0.000701058220097925,0,0,0,0,"sokC"
"19",12.8536798001149,7.15879146484093,1.66961188726592,4.28769794911071,1.80534353754607e-05,0.000701058220097925,4.11953428781424,0,0.9306048591021,4.29827972729417,"nhaA"
"20",20.0790440857472,3.65184774551027,0.884088099912741,4.13063782429682,3.61758131684954e-05,0.00129147653011529,1.02988357195356,3.7224194364084,1.8612097182042,1.07456993182354,"nhaR"
"21",26.3966181528667,2.88605344536842,0.707605732594812,4.07861795407617,4.53042151759775e-05,0.00154034331598324,4.11953428781424,3.7224194364084,3.7224194364084,3.22370979547063,"insB"
"22",16.8640293819661,5.08195490884298,1.25754904867038,4.04115840588182,5.31878143596225e-05,0.00165113475881611,3.08965071586068,0,2.7918145773063,1.07456993182354,"insA"
"23",11.1890753330717,-6.92420525485826,1.71302473590427,-4.04209297725237,5.2976217392672e-05,0.00165113475881611,17.5080207232105,13.9590728865315,0.9306048591021,1.07456993182354,"rpsT"
"24",42.1544603122146,2.08209614193594,0.516604955053995,4.03034489229458,5.56950713687758e-05,0.00165692837322108,0,0,0,0,"yaaY"
"25",18.7252391001703,6.24541933271676,1.58501779282963,3.94028342203478,8.13853982130221e-05,0.00232436697296391,7.20918500367491,8.3754437319189,2.7918145773063,4.29827972729417,"ribF"
"26",16.4483663088408,3.98245018188291,1.01739811178493,3.91434791921923,9.06488500134599e-05,0.00239715847813372,23.6873221549319,18.612097182042,20.4733069002462,6.44741959094125,"ileS"
"27",150.521666335988,-1.09764669633211,0.280325318038887,-3.91561741198077,9.01731473741262e-05,0.00239715847813372,1.02988357195356,1.8612097182042,0.9306048591021,2.14913986364708,"lspA"
"28",221.03939529775,-0.880455255652346,0.228028350729592,-3.86116574029181,0.000112847318137006,0.00287760661249365,5.14941785976779,0.9306048591021,0.9306048591021,0,"fkpB"
"29",36.1923173909972,2.25556061548785,0.590500881070905,3.81974132095666,0.000133591702578674,0.00317887368014683,5.14941785976779,1.8612097182042,3.7224194364084,3.22370979547063,"ispH"
"30",23.8069937055289,-3.07458899836514,0.807033711780313,-3.80974047736198,0.000139112740035347,0.00317887368014683,0,0,0.9306048591021,1.07456993182354,"rihC"
"31",10.1002782938327,-6.77489499919946,1.78106754088121,-3.80383946352056,0.000142470529082211,0.00317887368014683,2.05976714390712,0,0.9306048591021,0,"dapB"
"32",13505.7205692818,0.371088443970173,0.0972415199182952,3.81615223910498,0.000135548890724947,0.00317887368014683,12.3586028634427,24.1957263366546,1.8612097182042,1.07456993182354,"carA"
