@ SampleName	Condition
@ Please ensure that all files mentioned below are located within the raw/ directory	
@ The following conditions shall be referred to as condition 1 (first condition) and condition 2 (second condition) in the results files	
SRA3199337	Wildtype
SRA3199338	Wildtype
SRA3199339	Wildtype
SRA3199340	Mutant
SRA3199341	Mutant
SRA3199342	Mutant
